Task,Start_Date,End_Date,Duration
Job Posting,2024-08-01,2024-08-05,5
Resume Screening,2024-08-06,2024-08-15,10
Initial Interview Scheduling,2024-08-16,2024-08-20,5
Conduct Initial Interviews,2024-08-21,2024-08-30,10
Second Round Interview Scheduling,2024-08-31,2024-09-04,5
Conduct Second Round Interviews,2024-09-05,2024-09-14,10
Final Decision Making,2024-09-15,2024-09-19,5
Offer Preparation,2024-09-20,2024-09-22,3
Job Offer Extended,2024-09-23,2024-09-29,7
Candidate Onboarding,2024-09-30,2024-10-09,10
