Year Month,VEDA Measure,VEDA Measure PY,VEDA Measure Sentiment,VEDA Measure FormatString,VEDA Measure Category,VEDA Measure Name
,2224,2224,HIGH IS GOOD,"#,0",Misc Measures,Active Assignments
,42,42,LOW IS GOOD,0,Misc Measures,Active Assignments that are 1099
,0.018884892086330936,0.018884892086330936,LOW IS GOOD,0.00%;-0.00%;0.00%,Misc Measures,Active Assignments that are 1099 % of Total
,0.3035071942446043,0.3035071942446043,LOW IS GOOD,0.00%;-0.00%;0.00%,Misc Measures,Active Assignments that are W2 % of Total
,675,675,LOW/HIGH IS NEUTRAL,"",Misc Measures,Active Assignments that are W2
,540,540,LOW/HIGH IS NEUTRAL,0,Misc Measures,HMs With Active Assignments
,130,130,LOW/HIGH IS NEUTRAL,0,Misc Measures,Suppliers With Active Assignments
2021-01-31 00:00:00,2224,2224,HIGH IS GOOD,"#,0",Misc Measures,Active Assignments
2021-01-31 00:00:00,199,,HIGH IS GOOD,"#,0",Sourcing Measures,Openings
2021-01-31 00:00:00,40,,HIGH IS GOOD,"#,0",Sourcing Measures,Requests
2021-01-31 00:00:00,40,,HIGH IS GOOD,"#,0",Sourcing Measures,Requests Received
2021-01-31 00:00:00,2,,HIGH IS GOOD,"#,0",Sourcing Measures,Requests Responded w/Candidates
2021-01-31 00:00:00,32276684,,HIGH IS GOOD,"#,0.00",Spend Measures,Total Spend-Thru
2021-01-31 00:00:00,0,,HIGH IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Spend Measures,Total Volume Discount
2021-01-31 00:00:00,1906,,HIGH IS GOOD,0,Demographic & Compliance Measures,Active Assignments (During Period)
2021-01-31 00:00:00,53,,HIGH IS GOOD,0,Sourcing Measures,Assignment Starts
2021-01-31 00:00:00,3,,HIGH IS GOOD,0,Sourcing Measures,Candidates Hired
2021-01-31 00:00:00,5,,HIGH IS GOOD,0,Quality Measures,Candidates Qualified
2021-01-31 00:00:00,5,,HIGH IS GOOD,0,Sourcing Measures,Candidates Submitted
2021-01-31 00:00:00,199,,HIGH IS GOOD,0,Sourcing Measures,Openings Received
2021-01-31 00:00:00,7,,HIGH IS GOOD,0,Quality Measures,Positive Turnover Count
2021-01-31 00:00:00,149,,HIGH IS GOOD,0,Sourcing Measures,Releases
2021-01-31 00:00:00,0.125,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Sourcing Measures,Fill Efficiency Rate %
2021-01-31 00:00:00,0.6,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Qualified to Hire %
2021-01-31 00:00:00,0.23030303030303031,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Sourcing Measures,Response Rate %
2021-01-31 00:00:00,0.8333333333333333,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Submit to Hire %
2021-01-31 00:00:00,1,,HIGH IS GOOD,0.00%;-0.00%;0.00%,Quality Measures,Submit to Qualified %
2021-01-31 00:00:00,0.3157894736842105,,HIGH IS GOOD,0.00\ %;-0.00\ %;0.00\ %,Quality Measures,Positive Turnover %
2021-01-31 00:00:00,0,,HIGH IS GOOD,0.0000%;-0.0000%;0.0000%,Spend Measures,Total Volume Discount %
2021-01-31 00:00:00,40.04,,LOW IS GOOD,"#,0",Sourcing Measures,1st Qualified Candidate Response (In Hours)
2021-01-31 00:00:00,671,,LOW IS GOOD,"#,0",Cost Containment,Active Assignments Over Rate Card Rate (During Period)
2021-01-31 00:00:00,20.0551,,LOW IS GOOD,"#,0.00",Sourcing Measures,Time to Onboard
2021-01-31 00:00:00,0,,LOW IS GOOD,"#,0.00",Spend Measures,Total Beeline Fee
2021-01-31 00:00:00,44.856,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Average Bill Rate
2021-01-31 00:00:00,21.875,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Average Pay Rate
2021-01-31 00:00:00,48,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Median Bill Rate
2021-01-31 00:00:00,21.875,,LOW IS GOOD,"\$#,0.00;(\$#,0.00);\$#,0.00",Cost Containment,Candidates Median Pay Rate
2021-01-31 00:00:00,42,42,LOW IS GOOD,0,Misc Measures,Active Assignments that are 1099
2021-01-31 00:00:00,37,,LOW IS GOOD,0,Demographic & Compliance Measures,Active Assignments that are 1099 (During Period)
2021-01-31 00:00:00,713,,LOW IS GOOD,0,Demographic & Compliance Measures,Active Assignments that are W2 (During Period)
2021-01-31 00:00:00,9,,LOW IS GOOD,0,Cost Containment,Active Assignments Within 1% Below Rate Card (During Period)
2021-01-31 00:00:00,1,,LOW IS GOOD,0,Cost Containment,Candidates Within 1% Below Request Rate
2021-01-31 00:00:00,36,,LOW IS GOOD,0,Quality Measures,Negative Turnover Count
2021-01-31 00:00:00,2.666,,LOW IS GOOD,0.00,Quality Measures,Avg Interview Rating
