Supplier Name,VEDA Measure Related 1,VEDA Measure Related 2,VEDA Measure Related 3,VEDA Measure FormatString,VEDA Measure Related 1 FormatString,VEDA Measure Related 2 FormatString,VEDA Measure Related 3 FormatString,VEDA Measure Size By FormatString,VEDA Measure Name,VEDA Measure Related 1 Name,VEDA Measure Related 2 Name,VEDA Measure Related 3 Name,VEDA Measure Size By Name,VEDA Measure Sentiment,VEDA Measure Related 1 Sentiment,VEDA Measure Related 2 Sentiment,VEDA Measure Related 3 Sentiment,VEDA PARM MASK Value,VEDA PARM TOPN Value,VEDA Measure Size By Sentiment,VEDA PARM OVERALL RANKING Value,VEDA Measure Size By,VEDA Measure
ABC Company,,,41.7%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Acme Industries,0.0%,100.0%,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,1,1632
Alpha Construction,0.0%,100.0%,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,4,1632
Alpha Consulting,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Alpha Omega Enterprises,0.0%,,25.6%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,5,1632
Apex Systems,0.0%,100.0%,20.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,2,1632
BlueStar Technologies,,,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Bright Ideas Inc.,0.0%,100.0%,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,15,1632
Bright Start Enterprises,,,33.3%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Brightside Technologies,0.0%,100.0%,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,1,1632
